page	exists	redirect
desirable	True	Desirable
desperate	True	Desperate
dessert	True	Dessert
dev	True	Dev
device	True	Device
diapers	True	Diapers
dick	True	Dick
dickhead	True	Dickhead
Did he die%3F	False	
Did he died%3F	False	
diddling	True	Diddling
digital signature	True	Digital signature
digitalemotion	True	Digitalemotion
dignity	True	Dignity
dilaudid	True	Dilaudid
dildo	True	Dildo
dinner	True	Dinner
dioxin	True	Dioxin
dIRC	True	DIRC
dirty old man	True	Dirty old man
disagree	True	Disagree
disc jockey	True	Disc jockey
discrimination	True	Discrimination
Disney Channel	False	
disputed	True	Disputed
diva	True	Diva
divierto	True	Divierto
diy/	True	Diy/
djbb	True	Djbb
DO NOT WANT BUNNIES	False	
DO NOT WANT HAT	False	
Doesn%27t afraid of anything	False	
dog	True	Dog
dogcow	True	Dogcow
dollar	True	Dollar
dong	True	Dong
dongs	True	Dongs
dork	True	Dork
dot.com	True	Dot.com
double anal	True	Double anal
double standards	True	Double standards
douchebag	True	Douchebag
doxxing	True	Doxxing
doyouatecat	True	Doyouatecat
DR8C0	False	
dragon cock	True	Dragon cock
drama	True	Drama
drama bomb	True	Drama bomb
drama magnet	True	Drama magnet
drama queen	True	Drama queen
drama quotient	True	Drama quotient
drama remorse	True	Drama remorse
drama whore	True	Drama whore
drama yacht	True	Drama yacht
dream	True	Dream
dream brother	True	Dream brother
driver	True	Driver
drown	True	Drown
drunk	True	Drunk
dual	True	Dual
dude	True	Dude
Dumuzi-ouji‎	True	Dumuzi-ouji
Dungeons %26 Dragons	False	
Dungeons%20&%20Dragons	False	
e-dentity	True	E-dentity
e-girls	True	E-girls
e-mail spam	True	E-mail spam
e-penis	True	E-penis
e-stalking	True	E-stalking
e621	True	E621
eat attack	True	Eat attack
eaten	True	Eaten
ebaums did it	True	Ebaums did it
eBay	True	EBay
economist	True	Economist
economy	True	Economy
ecstasy	True	Ecstasy
edgy	True	Edgy
edit	True	Edit
edit war	True	Edit war
Eduardo the German	False	
eFukt	True	EFukt
Egmont Fleetway	False	
EIEIEIEIEI%21	False	
electronic mail	True	Electronic mail
elitist role players to casuals	True	Elitist role players to casuals
email	True	Email
emo	True	Emo
employee	True	Employee
enabling	True	Enabling
Encyclop&aelig;dia Dramatica	True	Encyclopædia Dramatica
Encyclop%C3%A6dia Dramatica	False	
Encyclopedia Dramatica:A User's Guide to Article Building	False	
Encyclopedia Dramatica:Advanced Meta	False	
Encyclopedia Dramatica:Article of the Now	False	
Encyclopedia Dramatica:Donate	False	
Encyclopedia Dramatica:ED Is Not	False	
Encyclopedia Dramatica:Help	False	
Encyclopedia Dramatica:How 2 EDit for Dummies	False	
Encyclopedia Dramatica:Image Selection Process	False	
Encyclopedia Dramatica:Improvement Drive	False	
Encyclopedia Dramatica:Internet Relevance	False	
Encyclopedia Dramatica:IRC	False	
Encyclopedia Dramatica:Orphan	False	
Encyclopedia Dramatica:Quote of the Now	False	
Encyclopedia Dramatica:Sandbox	False	
Encyclopedia Dramatica:Staff	False	
Encyclopedia Dramatica:Stub	False	
Encyclopedia Dramatica:Thizzlehat Junction Center	False	
Encyclopedia Dramatica:Userboxes	False	
Encyclopedia Dramatica:Vandalism is Pointless	False	
Encyclopedia Dramatica:Vox Dramatica prize	False	
Encyclopedia Dramatica:Why not pipe?	False	
Encyclopedia Dramatica:YouTube Improvement Drive	False	
encyclopediadramatica.rs	True	Encyclopediadramatica.rs
endgameradio	True	Endgameradio
endoftheinter.net	True	Endoftheinter.net
ENGLISH MOTHERFUCKER, DO YOU SPEAK IT%3F	False	
ENGLISH MOTHERFUCKER%2C DO YOU SPEAK IT%3F	False	
enlightenment	True	Enlightenment
enterbots	True	Enterbots
entertainment	True	Entertainment
Epic Rap Battles of History‎	True	Epic Rap Battles of History
epic results	True	Epic results
epithet	True	Epithet
eproctophilia‎	True	Eproctophilia
error	True	Error
eSchwa BBS	True	ESchwa BBS
etc	True	Etc
ethnic	True	Ethnic
euphoric	True	Euphoric
EVERYDAY I%27M HUSTLIN	False	
everyone on deviantart	True	Everyone on deviantart
everyone who worked on Frozen	True	Everyone who worked on Frozen
ews	True	Ews
example	True	Example
excited	True	Excited
excuse	True	Excuse
experiment	True	Experiment
exploit	True	Exploit
explosion	True	Explosion
face lift	True	Face lift
facefag	True	Facefag
facepalm	True	Facepalm
fag	True	Fag
faggot	True	Faggot
faghag	True	Faghag
fail	True	Fail
fair use	True	Fair use
fairy	True	Fairy
fake journal	True	Fake journal
falling out	True	Falling out
fan sign	True	Fan sign
fanatics	True	Fanatics
fandom	True	Fandom
fanime	True	Fanime
fanlistings	True	Fanlistings
fantasy	True	Fantasy
fap	True	Fap
farming	True	Farming
fat	True	Fat
fat girl	True	Fat girl
Fat Larry's Band‎	True	Fat Larry's Band
fatten	True	Fatten
fatter	True	Fatter
feather niggers	True	Feather niggers
featured article	True	Featured article
fedora	True	Fedora
feem	True	Feem
Felix	False	
feminist	True	Feminist
femnazis on Youtube	True	Femnazis on Youtube
ferreal	True	Ferreal
fetish	True	Fetish
fiction	True	Fiction
figlet	True	Figlet
File:800px-Realdiceshorty.png	False	
File:Aspirations.jpg	False	
File:Bat country.jpg	False	
File:Brawl.png	False	
File:Everyone get in here.png	False	
File:Hello.jpg	False	
File:Impressed ref.JPEG	False	
File:Roundworms-th.jpg	False	
File:Trevor moore on 4ch.jpg	False	
File:Whoopis eyebrows.png	False	
filler	True	Filler
filmboards	True	Filmboards
filter	True	Filter
Final Fantasy XIII‎	True	Final Fantasy XIII
final form	True	Final form
fire	True	Fire
Fire (software)	False	
fire drill	True	Fire drill
firemaster92	True	Firemaster92
fish	True	Fish
fission mailed	True	Fission mailed
fisting	True	Fisting
Five Nights at Freddy%27s	False	
fkn	True	Fkn
flame	True	Flame
flamer	True	Flamer
Flaming (Internet)	False	
flashmob	True	Flashmob
flaunt	True	Flaunt
flounce	True	Flounce
flounces	True	Flounces
fluffers	True	Fluffers
fluffy	True	Fluffy
foalcon	True	Foalcon
folk	True	Folk
food	True	Food
football	True	Football
fop	True	Fop
for great justice	True	For great justice
Forced Memes %28Television%29	False	
foreskin	True	Foreskin
foreskin wallet	True	Foreskin wallet
forum	True	Forum
fouseyTUBE	True	FouseyTUBE
franc	True	Franc
frankbertrand	True	Frankbertrand
Frasier	False	
free	True	Free
free market	True	Free market
freedom	True	Freedom
freedom of speech bitchez. Murka fuck yeh.png	True	Freedom of speech bitchez. Murka fuck yeh.png
freeleech	True	Freeleech
friends	True	Friends
friends list	True	Friends list
friends only	True	Friends only
friends page	True	Friends page
friendwhore	True	Friendwhore
fro0tlo0p	True	Fro0tlo0p
frog	True	Frog
front page fags	True	Front page fags
frozenfans	True	Frozenfans
fuanon	True	Fuanon
Fuck you%2C I%27m a dragon%21	False	
fucktard	True	Fucktard
fully sick	True	Fully sick
fun	True	Fun
fundamentalists	True	Fundamentalists
funny	True	Funny
fur faggotry	True	Fur faggotry
furpiles	True	Furpiles
furry art	True	Furry art
furry love	True	Furry love
fursecution	True	Fursecution
fursona	True	Fursona
fursuit	True	Fursuit
futility	True	Futility
future	True	Future
g/	True	G/
g00ns	True	G00ns
gagdub	True	Gagdub
Gaim	False	
gaiz	True	Gaiz
gallantmon8	True	Gallantmon8
gangbang	True	Gangbang
gangstalking	True	Gangstalking
ganguro	True	Ganguro
gasmask girl	True	Gasmask girl
gay.pl	True	Gay.pl
gb2	True	Gb2
geek	True	Geek
gender	True	Gender
GenesimmonsPoster.png	False	
genital warts	True	Genital warts
genocide	True	Genocide
George Bush doesn%27t care about black people	False	
ghetto	True	Ghetto
ghey	True	Ghey
gimmick	True	Gimmick
ginger	True	Ginger
girl	True	Girl
girlfriend	True	Girlfriend
girls clothing	True	Girls clothing
girltales.com	True	Girltales.com
girlvinyl.com	True	Girlvinyl.com
Girlvinyl/Emails‎	True	Girlvinyl/Emails
glomp	True	Glomp
Glowing Dragon	False	
glystew	True	Glystew
gmask	True	Gmask
gmmbbdhvDICKS	True	GmmbbdhvDICKS
God kills a kitten	False	
goddess of the internet	True	Goddess of the internet
Godwin%27s Law	False	
going commando	True	Going commando
golf	True	Golf
good article	True	Good article
goodgirl 666	True	Goodgirl 666
goons	True	Goons
gore	True	Gore
goth	True	Goth
government	True	Government
graph	True	Graph
gravity	True	Gravity
great	True	Great
GREATEXPECTATIONS320	False	
green	True	Green
gremlins	True	Gremlins
Grilvinyl	False	
grope	True	Grope
grudgewank	True	Grudgewank
gryphon	True	Gryphon
grzyb	True	Grzyb
guessing	True	Guessing
guitar	True	Guitar
gullible	True	Gullible
guro	True	Guro
guru	True	Guru
h0no	True	H0no
HA HA HA%2C OH WOW	False	
HA%21 HA%21 Guy	False	
habit	True	Habit
hacking	True	Hacking
HAHAHA DISREGARD THAT%2C I SUCK COCKS	False	
haihaikittyppg	True	Haihaikittyppg
Halloween‎	True	Halloween
halp	True	Halp
Hammer %284chan Meme%29	False	
hamster	True	Hamster
Hamtaro%27s Theory	False	
Hannibal Lecter	False	
harassing	True	Harassing
harassment	True	Harassment
hardcore	True	Hardcore
hardware	True	Hardware
harmless	True	Harmless
harrassment	True	Harrassment
Harrumph%21	False	
Has anyone really been far even as decided to use even go want to do look more like%3F	False	
hat	True	Hat
hate mail	True	Hate mail
haters	True	Haters
hbomberguy	True	Hbomberguy
heartagram	True	Heartagram
Henk Holl	False	
Henrietta Pussycat	False	
hentai	True	Hentai
heptop	True	Heptop
here come the lulz	True	Here come the lulz
hero	True	Hero
het	True	Het
heterophobe	True	Heterophobe
heterosexual	True	Heterosexual
hideous	True	Hideous
Hipcrime (Usenet)	False	
hipster	True	Hipster
hir	True	Hir
history	True	History
hive mind	True	Hive mind
hivemind	True	Hivemind
HNNNNNNGGGGG‎	True	HNNNNNNGGGGG
hole	True	Hole
homeless	True	Homeless
homeschool	True	Homeschool
homeschooling	True	Homeschooling
honesty	True	Honesty
honorz	True	Honorz
horse	True	Horse
hospital	True	Hospital
hot	True	Hot
Hover hand‎	True	Hover hand
How are you feeling today /b/%3F	False	
HOW CAN SHE SLAP%3F%21%3F	False	
How Do I Shot Web%3F	False	
How is babby formed%3F	False	
HSPA+	False	
hueg	True	Hueg
hueg.pl	True	Hueg.pl
hugbox	True	Hugbox
human toilet	True	Human toilet
humour	True	Humour
Hurr Durr	False	
husband	True	Husband
HydraIRC	False	
hygiene	True	Hygiene
hyooman	True	Hyooman
Hyper forums	False	
Hyrule	False	
I Can Has Cheezburger%3F	False	
I DIDN%27T EAT THAT FUCKIN SANDWICH OR THE TOILET THING EITHER%21	False	
I don%27t roll that way	False	
I don%27t think you have an X. Enjoy your Y.	False	
I GOT NORTON%21	False	
I have a 140 IQ‎	True	I have a 140 IQ
I TOUCHED HIS PENIS%21%21 OMG	False	
i-heart-hikaru	True	I-heart-hikaru
I%27D HIT IT%21	False	
I%27ll just leave this here	False	
I%27m 12 years old and what is this%3F	False	
I%27m Dying Squirtle	False	
I%27m on my bee	False	
I%27m so confused	False	
I%2C for one%2C welcome our new X overlords	False	
iBrony	True	IBrony
ic/	True	Ic/
iCarly	True	ICarly
IceChat	False	
iChan (chan)	True	IChan (chan)
icon	True	Icon
idiot	True	Idiot
IDK%2C my BFF Jill%3F	False	
idle	True	Idle
idlenet	True	Idlenet
IFM	False	
iFunny	True	IFunny
iichan	True	Iichan
illegal	True	Illegal
illiniguy34	True	Illiniguy34
ilu	True	Ilu
iMacros	True	IMacros
image	True	Image
image iwg3q9q.jpg	True	Image iwg3q9q.jpg
image nxqxlyt.jpg	True	Image nxqxlyt.jpg
image tx2kl94.jpg	True	Image tx2kl94.jpg
image y7dig78.jpg	True	Image y7dig78.jpg
imaginary	True	Imaginary
imanihilist	True	Imanihilist
imaybeparanoid	True	Imaybeparanoid
immature	True	Immature
imporant	True	Imporant
impprtant	True	Impprtant
in the ass	True	In the ass
in2teens	True	In2teens
incels	True	Incels
incest	True	Incest
indie	True	Indie
indiefucks	True	Indiefucks
indigo	True	Indigo
induction	True	Induction
infidelity	True	Infidelity
infotainment	True	Infotainment
ingeniously clever	True	Ingeniously clever
insub	True	Insub
int/	True	Int/
intellectual	True	Intellectual
intelligence	True	Intelligence
interesting	True	Interesting
internet boyfriend	True	Internet boyfriend
internet crushes	True	Internet crushes
internet ego machine	True	Internet ego machine
internet jail	True	Internet jail
internet relationships	True	Internet relationships
internet slang	True	Internet slang
internet trial	True	Internet trial
internets	True	Internets
intervention	True	Intervention
invasion of privacy	True	Invasion of privacy
invite code	True	Invite code
iPad	True	IPad
iPhone	True	IPhone
iPod	True	IPod
irc.kottnet.net	True	Irc.kottnet.net
ircabi	True	Ircabi
irchighway	True	Irchighway
ircII	True	IrcII
IRCle	False	
ircop	True	Ircop
iRONAS	True	IRONAS
irssi	True	Irssi
is	True	Is
IS IT CAN BE HUGS TIEM NOW PLEES%3F	False	
iScribble	True	IScribble
Isn%27t Dallas in California%3F	False	
it was never relevant at all guise	True	It was never relevant at all guise
IT'S OVER NINE THOUSAND%21	False	
It%27s a Fake	False	
It%27s a trap!	False	
IT%27S OVER 9000	False	
It%27s slowly coming this way%21	False	
iTunes	True	ITunes
iwrotetherules	True	Iwrotetherules
j-rap	True	J-rap
J%C3%A9sk%C3%A9 Couriano	False	
jack	True	Jack
jaikesghost	True	Jaikesghost
jailbait	True	Jailbait
jap trapboy gets fucked by horny 500 pound american neckbeard	True	Jap trapboy gets fucked by horny 500 pound american neckbeard
jarhead	True	Jarhead
Jat777	False	
jeffsfortboard.com	True	Jeffsfortboard.com
jerk	True	Jerk
jervaise brooke hamster	True	Jervaise brooke hamster
JESUS CHRIST IT%27S A LION GET IN THE CAR%21	False	
jewed	True	Jewed
jewlion	True	Jewlion
jimmybobob79	True	Jimmybobob79
jIRC	True	JIRC
jmIrc	True	JmIrc
job	True	Job
john	True	John
journal	True	Journal
jp/	True	Jp/
jpirc	True	Jpirc
jumped the shark	True	Jumped the shark
jumpscare	True	Jumpscare
k/	True	K/
kabouter	True	Kabouter
kamikaze	True	Kamikaze
kanker	True	Kanker
Kari Ferrel‎	True	Kari Ferrel
kawaii	True	Kawaii
kek	True	Kek
kev	True	Kev
Kevin &amp; Kell	True	Kevin & Kell
kewl	True	Kewl
keyboard	True	Keyboard
Khaaan%21	False	
killfilter	True	Killfilter
kittens	True	Kittens
kittenwar	True	Kittenwar
Klient	False	
knife	True	Knife
Kopete	False	
Krampus‎	True	Krampus
Kraut and Tea‎	True	Kraut and Tea
Krystal Can%27t Enjoy Her Sandwich	False	
KVIrc	False	
kyhell	True	Kyhell
L-L-LUNAJACK%21	False	
l0de	True	L0de
l0pht	True	L0pht
laced	True	Laced
lag	True	Lag
lainchan	True	Lainchan
lame	True	Lame
lamer	True	Lamer
lancerboi	True	Lancerboi
landwhale	True	Landwhale
language	True	Language
lawnmower	True	Lawnmower
leeb	True	Leeb
leet pvp	True	Leet pvp
leftypol/	True	Leftypol/
legal action	True	Legal action
lel	True	Lel
lemmings	True	Lemmings
lesbian	True	Lesbian
lethal action	True	Lethal action
levenator	True	Levenator
lgbt/	True	Lgbt/
liberal	True	Liberal
liberal media	True	Liberal media
LibIRC	False	
lie}fact	False	
liek	True	Liek
life	True	Life
life partner	True	Life partner
life story	True	Life story
lifestyle	True	Lifestyle
like	True	Like
Lil%27 Jon	False	
lilmekim	True	Lilmekim
lima pcp	True	Lima pcp
limit break	True	Limit break
Lindsay Kantha Souvannarath‎	True	Lindsay Kantha Souvannarath
